ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
13141,BOSQUES DE LAS LOMAS 2110,CUAJIMALPA DE MORELOS,19.39356,-99.24881,1,Postes_C5
13142,BOSQUES DE LAS LOMAS 2110,CUAJIMALPA DE MORELOS,19.39045,-99.25068,1,Postes_C5
13143,AHUATENCO,CUAJIMALPA DE MORELOS,19.36711,-99.30006,1,Postes_C5
13144,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35854,-99.30225,1,Postes_C5
13145,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35720,-99.30347,1,Postes_C5
13146,LOCAXCO,CUAJIMALPA DE MORELOS,19.34725,-99.29737,1,Postes_C5
13147,EL YAQUI,CUAJIMALPA DE MORELOS,19.36085,-99.28740,1,Postes_C5
13148,JESUS DEL MONTE,CUAJIMALPA DE MORELOS,19.36563,-99.29356,1,Postes_C5
13149,LAS TINAJAS 2266,CUAJIMALPA DE MORELOS,19.35800,-99.28322,1,Postes_C5
13150,CRUZ MANCA,CUAJIMALPA DE MORELOS,19.36153,-99.27807,1,Postes_C5
13151,SAN JOSE DE LOS CEDROS 2431,CUAJIMALPA DE MORELOS,19.36953,-99.28591,1,Postes_C5
13152,SAN JOSE DE LOS CEDROS 2431,CUAJIMALPA DE MORELOS,19.36669,-99.29242,1,Postes_C5
13153,SAN JOSE DE LOS CEDROS 2431,CUAJIMALPA DE MORELOS,19.36587,-99.28760,1,Postes_C5
13154,SAN JOSE DE LOS CEDROS 2431,CUAJIMALPA DE MORELOS,19.36975,-99.28849,1,Postes_C5
13155,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35768,-99.29778,1,Postes_C5
13156,NAVIDAD (GRANJAS DE NAVIDAD),CUAJIMALPA DE MORELOS,19.37503,-99.28350,1,Postes_C5
13157,NAVIDAD (GRANJAS DE NAVIDAD),CUAJIMALPA DE MORELOS,19.37406,-99.28761,1,Postes_C5
13158,NAVIDAD (GRANJAS DE NAVIDAD),CUAJIMALPA DE MORELOS,19.37553,-99.28494,1,Postes_C5
13159,JARDINES DE LA PALMA,CUAJIMALPA DE MORELOS,19.37112,-99.28458,1,Postes_C5
13160,NAVIDAD (GRANJAS DE NAVIDAD),CUAJIMALPA DE MORELOS,19.37469,-99.28496,1,Postes_C5
13161,NAVIDAD (GRANJAS DE NAVIDAD),CUAJIMALPA DE MORELOS,19.37248,-99.28668,1,Postes_C5
13162,LA PILA 2261,CUAJIMALPA DE MORELOS,19.30957,-99.33591,1,Postes_C5
13163,LAS LAJAS,CUAJIMALPA DE MORELOS,19.31857,-99.33156,1,Postes_C5
13164,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.38831,-99.26536,1,Postes_C5
13165,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.38412,-99.26618,1,Postes_C5
13166,EL YAQUI,CUAJIMALPA DE MORELOS,19.36065,-99.28374,1,Postes_C5
13167,SAN JOSE DE LOS CEDROS 2431,CUAJIMALPA DE MORELOS,19.36816,-99.29094,1,Postes_C5
13168,SAN JOSE DE LOS CEDROS 2431,CUAJIMALPA DE MORELOS,19.36964,-99.28715,1,Postes_C5
13169,SAN MATEO TLALTENANGO 2453,CUAJIMALPA DE MORELOS,19.34208,-99.27662,1,Postes_C5
13170,EMILIO PORTES GIL PEMEX PICACHO,TLALPAN,19.30346,-99.21921,1,Postes_C5
13171,SAN PABLO CHIMALPA,CUAJIMALPA DE MORELOS,19.35319,-99.31570,1,Postes_C5
13172,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35851,-99.29853,1,Postes_C5
13173,SAN JOSE DE LOS CEDROS 2431,CUAJIMALPA DE MORELOS,19.36739,-99.28579,1,Postes_C5
13174,MIGUEL HIDALGO 4TA SECCION,TLALPAN,19.27166,-99.20798,1,Postes_C5
13175,GIRALTA,CUAJIMALPA DE MORELOS,19.36234,-99.27564,1,Postes_C5
13176,XALPA,CUAJIMALPA DE MORELOS,19.31524,-99.33062,1,Postes_C5
13177,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35400,-99.30187,1,Postes_C5
13178,AHUATENCO,CUAJIMALPA DE MORELOS,19.36454,-99.29957,1,Postes_C5
13179,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35758,-99.30150,1,Postes_C5
13180,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35476,-99.29752,1,Postes_C5
13181,AHUATENCO,CUAJIMALPA DE MORELOS,19.36208,-99.30031,1,Postes_C5
13182,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35606,-99.30121,1,Postes_C5
13183,SAN PABLO CHIMALPA,CUAJIMALPA DE MORELOS,19.35329,-99.31778,1,Postes_C5
13184,ABDIAS GARCIA SOTO,CUAJIMALPA DE MORELOS,19.35007,-99.29512,1,Postes_C5
13185,LAS TINAJAS 2266,CUAJIMALPA DE MORELOS,19.35881,-99.28371,1,Postes_C5
13186,LOMA DEL PADRE,CUAJIMALPA DE MORELOS,19.34709,-99.31191,1,Postes_C5
13187,LOMA DEL PADRE,CUAJIMALPA DE MORELOS,19.35016,-99.30736,1,Postes_C5
13188,SIN NOMBRE 2621,MIGUEL HIDALGO,19.40430,-99.25045,1,Postes_C5
13189,LOMAS DE VISTA HERMOSA 2293,CUAJIMALPA DE MORELOS,19.37768,-99.26055,1,Postes_C5
13190,LA PILA 2262,CUAJIMALPA DE MORELOS,19.30961,-99.33324,1,Postes_C5
13191,CONTADERO,CUAJIMALPA DE MORELOS,19.34502,-99.30261,1,Postes_C5
13196,LA PILA 2261,CUAJIMALPA DE MORELOS,19.30425,-99.33987,1,Postes_C5
13197,LA PILA 2261,CUAJIMALPA DE MORELOS,19.29706,-99.34848,1,Postes_C5
13198,CONTADERO,CUAJIMALPA DE MORELOS,19.33829,-99.31091,1,Postes_C5
13199,LOMAS DE SAN JUAN IXHUATEPEC (2A SECCION),GUSTAVO A. MADERO,19.50846,-99.10896,1,Postes_C5
13200,LA PILA 2262,CUAJIMALPA DE MORELOS,19.31095,-99.33692,1,Postes_C5
13202,XALPA,CUAJIMALPA DE MORELOS,19.31103,-99.33039,1,Postes_C5
13203,LA PILA 2262,CUAJIMALPA DE MORELOS,19.31654,-99.33511,1,Postes_C5
13204,LOMAS DE VISTA HERMOSA 2293,CUAJIMALPA DE MORELOS,19.37565,-99.26506,1,Postes_C5
13205,CRUZ BLANCA 2150,CUAJIMALPA DE MORELOS,19.31285,-99.31147,1,Postes_C5
13208,LOMA DEL PADRE,CUAJIMALPA DE MORELOS,19.34472,-99.30790,1,Postes_C5
13209,LOMA DEL PADRE,CUAJIMALPA DE MORELOS,19.35054,-99.31112,1,Postes_C5
13210,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,19.32744,-99.32603,1,Postes_C5
13211,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,19.32548,-99.33022,1,Postes_C5
13213,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,19.33896,-99.32495,1,Postes_C5
13214,LA PILA 2262,CUAJIMALPA DE MORELOS,19.30933,-99.34084,1,Postes_C5
13216,SAN MATEO TLALTENANGO 2453,CUAJIMALPA DE MORELOS,19.33669,-99.28439,1,Postes_C5
13217,SANTA ROSA XOCHIAC,ÁLVARO OBREGÓN,19.32668,-99.29075,1,Postes_C5
13218,SAN MATEO TLALTENANGO 2453,CUAJIMALPA DE MORELOS,19.34604,-99.27124,1,Postes_C5
13219,SAN MATEO TLALTENANGO 2453,CUAJIMALPA DE MORELOS,19.33998,-99.29065,1,Postes_C5
13220,SAN PABLO CHIMALPA,CUAJIMALPA DE MORELOS,19.35205,-99.32077,1,Postes_C5
13221,SAN PABLO CHIMALPA,CUAJIMALPA DE MORELOS,19.35158,-99.31474,1,Postes_C5
13222,CONTADERO,CUAJIMALPA DE MORELOS,19.33561,-99.31028,1,Postes_C5
13223,TEPETONGO,CUAJIMALPA DE MORELOS,19.36926,-99.29339,1,Postes_C5
13224,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35851,-99.30345,1,Postes_C5
13226,AGUA BENDITA,CUAJIMALPA DE MORELOS,19.35640,-99.30925,1,Postes_C5
13233,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.31462,-99.24355,1,Postes_C5
13234,EL TORO,LA MAGDALENA CONTRERAS,19.31477,-99.24598,1,Postes_C5
13235,SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,19.33308,-99.22323,1,Postes_C5
13236,POTRERILLO 2388,LA MAGDALENA CONTRERAS,19.30744,-99.25116,1,Postes_C5
13237,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.31029,-99.24347,1,Postes_C5
